排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
453,养老概念,BK0653,2607.55,-50.48,-1.9,2693498688000,1.47,21,104,中 关 村,9.94
454,乳业,BK0892,1004.31,-19.7,-1.92,406273824000,1.94,4,28,皇氏集团,3.42
455,互联网医疗,BK0837,954.78,-18.93,-1.94,4509257984000,1.58,14,85,双鹭药业,9.94
456,味蕾经济,BK1653,877.41,-18.17,-2.03,3420442800000,1.3,9,81,皇氏集团,3.42
457,体外诊断概念,BK0841,1350.59,-27.92,-2.03,798585760000,2.32,10,58,近岸蛋白,20.0
458,最近多板,BK1638,2204.29,-47.48,-2.11,1198694992000,7.3,37,92,汉森制药,10.04
459,婴童概念,BK0664,1626.48,-35.25,-2.12,1221055984000,1.43,12,143,贝瑞基因,10.03
460,猪肉概念,BK0882,1170.67,-25.61,-2.14,725012800000,1.46,3,33,播恩集团,1.01
461,农药兽药,BK0730,1171.54,-25.76,-2.15,301695488000,1.21,3,45,亨通股份,1.99
462,调味品概念,BK1026,954.18,-21.25,-2.18,624622608000,1.54,5,28,骑士乳业,2.36
463,化妆品概念,BK0974,1110.54,-25.19,-2.22,577862560000,1.7,6,58,双鹭药业,9.94
464,新消费,BK1652,867.96,-20.17,-2.27,724052464000,1.91,8,74,键凯科技,20.0
465,供销社概念,BK1109,1010.34,-24.0,-2.32,125400635000,1.35,0,14,亚钾国际,-0.77
466,啤酒概念,BK1073,1117.53,-26.64,-2.33,223828808000,2.01,2,17,嘉美包装,1.78
467,社区团购,BK0965,826.2,-19.79,-2.34,476701184000,1.47,2,36,ST加加,1.15
468,医美概念,BK0889,1808.44,-46.91,-2.53,1124822704000,2.02,9,67,键凯科技,20.0
469,宠物经济,BK0993,836.03,-21.9,-2.55,393370480000,1.5,2,69,洁雅股份,1.83
470,合成生物,BK1174,1279.42,-35.79,-2.72,1431214976000,2.35,13,108,圣达生物,10.04
471,土地流转,BK0632,1673.45,-47.52,-2.76,393290176000,1.88,4,40,黑牡丹,2.46
472,农业种植,BK0888,2269.22,-65.63,-2.81,724146864000,2.23,7,77,粤桂股份,2.47
473,精准医疗,BK0806,1057.7,-30.88,-2.84,546410224000,3.26,4,40,贝瑞基因,10.03
474,AI制药（医疗）,BK1170,1372.79,-41.29,-2.92,938491264000,2.47,9,62,贝瑞基因,10.03
475,生物疫苗,BK0548,26825.58,-845.71,-3.06,1009364048000,2.66,7,63,双鹭药业,9.94
476,病毒防治,BK0675,2644.11,-84.07,-3.08,1250104240000,2.63,7,101,双鹭药业,9.94
477,辅助生殖,BK0939,1069.02,-34.48,-3.12,512044176000,3.31,5,48,双鹭药业,9.94
478,毛发医疗,BK0996,976.39,-31.73,-3.15,119604104000,2.61,0,18,水羊股份,-0.19
479,阿兹海默,BK0894,1945.74,-63.74,-3.17,245914959000,3.56,1,20,双鹭药业,9.94
480,肝素概念,BK0944,865.29,-29.5,-3.3,189902180000,2.45,1,12,双鹭药业,9.94
481,中药概念,BK0615,2191.72,-75.9,-3.35,1777527360000,2.57,8,137,汉森制药,10.04
482,创新医疗服务,BK1658,980.68,-35.52,-3.5,1646280400000,2.06,5,74,ST荣科,3.15
483,青蒿素,BK0872,2053.63,-75.05,-3.53,310014192000,1.99,1,10,南卫股份,3.05
484,幽门螺杆菌概念,BK1056,984.01,-36.1,-3.54,501905968000,2.85,2,53,汉森制药,10.04
485,医药医疗风格,BK1712,1091.08,-40.16,-3.55,4563527680000,2.14,4,96,沃森生物,10.45
486,题材股,BK1717,1281.3,-47.7,-3.59,1352282640000,8.71,12,34,汉森制药,10.04
487,免疫治疗,BK0698,1493.41,-55.82,-3.6,512352640000,2.61,3,42,双鹭药业,9.94
488,流感,BK0906,1637.23,-61.61,-3.63,1423775824000,2.91,5,122,双鹭药业,9.94
489,代糖概念,BK0938,1061.83,-40.18,-3.65,159864265000,2.67,1,15,圣泉集团,1.7
490,昨日高换手,BK1632,487.08,-18.53,-3.66,652542592000,12.34,16,49,天洋新材,10.04
491,维生素,BK0895,1917.0,-73.29,-3.68,482655760000,3.18,2,31,圣达生物,10.04
492,肝炎概念,BK1078,1396.83,-53.58,-3.69,621046624000,5.29,3,53,汉森制药,10.04
493,特色药,BK1656,899.62,-34.87,-3.73,572781376000,2.15,1,39,双鹭药业,9.94
