date,close
2024-07-23,195.9
2024-07-24,195.77
2024-07-25,196.3
2024-07-26,200.1
2024-07-29,201.31
2024-07-30,209.43
2024-07-31,206.78
2024-08-01,214.31
2024-08-02,221.02
2024-08-05,212.57
2024-08-06,214.54
2024-08-07,212.35
2024-08-08,209.99
2024-08-09,208.97
2024-08-12,211.92
2024-08-13,209.04
2024-08-14,209.56
2024-08-15,204.44
2024-08-16,206.23
2024-08-19,206.04
2024-08-20,206.76
2024-08-21,205.87
2024-08-22,206.48
2024-08-23,213.38
2024-08-26,211.69
2024-08-27,212.54
2024-08-28,211.63
2024-08-29,209.9
2024-08-30,210.44
2024-09-03,216.75
2024-09-04,218.9
2024-09-05,220.02
2024-09-06,222.54
2024-09-09,224.91
2024-09-10,229.21
2024-09-11,225.35
2024-09-12,223.52
2024-09-13,224.88
2024-09-16,226.7
2024-09-17,225.83
2024-09-18,222.33
2024-09-19,218.69
2024-09-20,221.44
2024-09-23,222.65
2024-09-24,222.85
2024-09-25,222.01
2024-09-26,218.15
2024-09-27,216.7
2024-09-30,218.94
2024-10-01,218.45
2024-10-02,218.26
2024-10-03,215.66
2024-10-04,210.04
2024-10-07,209.75
2024-10-08,210.66
2024-10-09,208.78
2024-10-10,205.9
2024-10-11,207.27
2024-10-14,209.7
2024-10-15,217.43
2024-10-16,215.52
2024-10-17,212.16
2024-10-18,214.3
2024-10-21,209.47
2024-10-22,209.46
2024-10-23,214.27
2024-10-24,213.93
2024-10-25,210.8
2024-10-28,210.22
2024-10-29,200.91
2024-10-30,201.48
2024-10-31,201.54
2024-11-01,199.26
2024-11-04,200.11
2024-11-05,201.85
2024-11-06,185.47
2024-11-07,185.87
2024-11-08,189.8
2024-11-11,184.08
2024-11-12,181.72
2024-11-13,183.16
2024-11-14,182.77
2024-11-15,184.45
2024-11-18,186.84
2024-11-19,189.15
2024-11-20,188.88
2024-11-21,190.81
2024-11-22,192.31
2024-11-25,195.55
2024-11-26,196.0
2024-11-27,197.3
2024-11-29,197.0
2024-12-02,195.33
2024-12-03,195.79
2024-12-04,195.5
2024-12-05,197.16
2024-12-06,195.1
2024-12-09,197.04
2024-12-10,187.53
2024-12-11,187.59
2024-12-12,185.85
2024-12-13,185.16
2024-12-16,181.73
2024-12-17,181.26
2024-12-18,172.85
2024-12-19,167.4
2024-12-20,171.73
2024-12-23,172.38
2024-12-24,172.71
2024-12-26,171.98
2024-12-27,171.49
2024-12-30,171.54
2024-12-31,173.03
2025-01-02,170.65
2025-01-03,172.18
2025-01-06,169.88
2025-01-07,166.79
2025-01-08,168.81
2025-01-10,163.08
2025-01-13,166.56
2025-01-14,168.42
2025-01-15,169.94
2025-01-16,179.69
2025-01-17,180.01
2025-01-21,179.55
2025-01-22,174.91
2025-01-23,176.01
2025-01-24,174.7
2025-01-27,181.66
2025-01-28,176.55
2025-01-29,173.25
2025-01-30,175.44
2025-01-31,174.57
2025-02-03,174.99
2025-02-04,173.75
2025-02-05,177.08
2025-02-06,179.37
2025-02-07,178.46
2025-02-10,179.5
2025-02-11,183.04
2025-02-12,179.14
2025-02-13,179.61
2025-02-14,179.0
2025-02-18,179.17
2025-02-19,178.18
2025-02-20,182.0
2025-02-21,181.17
2025-02-24,181.62
2025-02-25,193.37
2025-02-26,190.35
2025-02-27,193.59
2025-02-28,195.24
2025-03-03,199.23
2025-03-04,196.74
2025-03-05,198.31
2025-03-06,196.55
2025-03-07,201.91
2025-03-10,202.69
2025-03-11,199.4
2025-03-12,196.31
2025-03-13,197.39
2025-03-14,200.55
2025-03-17,202.31
2025-03-18,204.49
2025-03-19,203.38
2025-03-20,203.89
2025-03-21,205.85
2025-03-24,202.42
2025-03-25,199.12
2025-03-26,199.64
2025-03-27,203.66
2025-03-28,205.18
2025-03-31,207.22
2025-04-01,209.06
2025-04-02,207.52
2025-04-03,217.81
2025-04-04,209.79
2025-04-07,203.01
2025-04-08,194.28
2025-04-09,197.1
2025-04-10,197.94
2025-04-11,204.54
2025-04-14,209.11
2025-04-15,209.33
2025-04-16,209.32
2025-04-17,213.98
2025-04-21,209.31
2025-04-22,212.29
2025-04-23,203.92
2025-04-24,202.23
2025-04-25,202.14
2025-04-28,202.62
2025-04-29,212.65
2025-04-30,216.73
2025-05-01,215.35
2025-05-02,214.92
2025-05-05,215.19
2025-05-06,215.13
2025-05-07,210.81
2025-05-08,209.2
2025-05-09,211.29
2025-05-12,199.24
2025-05-13,195.28
2025-05-14,195.82
2025-05-15,203.0
2025-05-16,204.7
2025-05-19,206.45
2025-05-20,206.72
2025-05-21,205.05
2025-05-22,201.59
2025-05-23,203.18
2025-05-27,205.02
2025-05-28,203.78
2025-05-29,205.03
2025-05-30,205.97
2025-06-02,205.43
2025-06-03,204.71
2025-06-04,205.68
2025-06-05,207.54
2025-06-06,203.86
2025-06-09,204.15
2025-06-10,205.93
2025-06-11,205.68
2025-06-12,209.02
2025-06-13,207.82
2025-06-16,208.0
2025-06-17,208.16
2025-06-18,208.5
2025-06-20,210.5
2025-06-23,214.65
2025-06-24,216.93
2025-06-25,213.24
2025-06-26,210.54
2025-06-27,210.8
2025-06-30,214.04
2025-07-01,217.49
2025-07-02,215.85
2025-07-03,214.77
2025-07-07,213.04
2025-07-08,213.72
2025-07-09,214.85
2025-07-10,214.03
2025-07-11,212.26
2025-07-14,214.8
2025-07-15,211.94
2025-07-16,216.38
2025-07-17,216.06
2025-07-18,217.79
2025-07-21,219.52
2025-07-22,225.37
2025-07-23,223.2
2025-07-24,224.26
2025-07-25,222.89
2025-07-28,217.23
